ds,yhat,yhat_lower,yhat_upper,is_holiday,is_sandwich,is_weekend
2026-01-10,0.8618972527533059,0.16789030432965424,1.0,0,0,1
2026-01-11,0.5112861678389291,0.0,1.0,0,0,1
2026-01-12,0.4916264101569061,0.0,1.0,0,0,0
2026-01-13,0.46097144945704677,0.0,1.0,0,0,0
2026-01-14,0.42506738218030354,0.0,1.0,0,0,0
2026-01-15,0.4476335340231491,0.0,1.0,0,0,0
2026-01-16,0.48947777119964997,0.0,1.0,0,0,0
2026-01-17,0.5325697813470613,0.0,1.0,0,0,1
2026-01-18,0.2984005317406562,0.0,1.0,0,0,1
2026-01-19,0.35453309921856085,0.0,1.0,0,0,0
2026-01-20,0.37272277139953724,0.0,1.0,0,0,0
2026-01-21,0.36833694584879856,0.0,1.0,0,0,0
2026-01-22,0.4113635707221873,0.0,1.0,0,0,0
2026-01-23,0.4664846654325757,0.0,1.0,0,0,0
2026-01-24,0.5180683291265819,0.0,1.0,0,0,1
2026-01-25,0.288890542250859,0.0,1.0,0,0,1
2026-01-26,0.34882032624653614,0.0,1.0,0,0,0
2026-01-27,0.36934591408396783,0.0,1.0,0,0,0
2026-01-28,0.3664338663580934,0.0,1.0,0,0,0
2026-01-29,0.41051261616118306,0.0,1.0,0,0,0
2026-01-30,0.46637300722965425,0.0,1.0,0,0,0
2026-01-31,0.5183489399946163,0.0,1.0,0,0,1
2026-02-01,0.28892937779391736,0.0,1.0,0,0,1
2026-02-02,0.349276983821856,0.0,1.0,0,0,0
2026-02-03,0.36995516076041024,0.0,1.0,0,0,0
2026-02-04,0.3671063965275856,0.0,1.0,0,0,0
2026-02-05,0.4113263176954326,0.0,1.0,0,0,0
2026-02-06,0.46733766401871685,0.0,1.0,0,0,0
2026-02-07,0.5193256144267053,0.0,1.0,0,0,1
2026-02-08,0.28941755592865015,0.0,1.0,0,0,1
2026-02-09,0.35002485609540157,0.0,1.0,0,0,0
2026-02-10,0.37075321633441927,0.0,1.0,0,0,0
2026-02-11,0.36790150498126317,0.0,1.0,0,0,0
2026-02-12,0.4122200317323661,0.0,1.0,0,0,0
2026-02-13,0.46835496644162206,0.0,1.0,0,0,0
2026-02-14,0.5203370690697219,0.0,1.0,0,0,1
2026-02-15,0.2899278904013452,0.0,1.0,0,0,1
2026-02-16,0.35078798504430686,0.0,1.0,0,0,0
2026-02-17,0.37156181486790496,0.0,1.0,0,0,0
2026-02-18,0.36870403418704645,0.0,1.0,0,0,0
2026-02-19,0.4131193689165239,0.0,1.0,0,0,0
2026-02-20,0.4693768614555965,0.0,1.0,0,0,0
2026-02-21,0.5213522635935466,0.0,1.0,0,0,1
2026-02-22,0.2904403286419318,0.0,1.0,0,0,1
2026-02-23,0.3515534188730386,0.0,1.0,0,0,0
2026-02-24,0.3723725910685486,0.0,1.0,0,0,0
2026-02-25,0.3695085815412228,0.0,1.0,0,0,0
2026-02-26,0.414020841004079,0.0,1.0,0,0,0
2026-02-27,0.4704010977684284,0.0,1.0,0,0,0
2026-02-28,0.5223697453622124,0.0,1.0,0,0,1
2026-03-01,0.2909539315739914,0.0,1.0,0,0,1
2026-03-02,0.3523205530071425,0.0,1.0,0,0,0
2026-03-03,0.3731851558873178,0.0,1.0,0,0,0
2026-03-04,0.37031489705428533,0.0,1.0,0,0,0
2026-03-05,0.4149242883168877,0.0,1.0,0,0,0
2026-03-06,0.4714275743284396,0.0,1.0,0,0,0
2026-03-07,0.5233894507875326,0.0,1.0,0,0,1
2026-03-08,0.29146865743719486,0.0,1.0,0,0,1
2026-03-09,0.3530893625381526,0.0,1.0,0,0,0
2026-03-10,0.3739994947396462,0.0,1.0,0,0,0
